,headbreadth,headcircumference,headlength,tragiontopofhead,n_hairs,measurement_error
0,150,583,206,140,100016.243454,0.1
1,146,568,201,120,99993.882436,0.1
2,148,573,202,125,99994.718282,0.1
3,158,576,199,127,99989.270314,0.1
4,153,566,197,122,100008.654076,0.1
5,155,576,198,132,99976.984613,0.1
6,158,612,211,139,100017.448118,0.1
7,156,551,185,131,99992.387931,0.1
8,160,578,198,128,100003.190391,0.1
9,146,549,190,116,99997.506296,0.1
10,155,578,200,142,100014.621079,0.1
11,148,548,189,126,99979.398593,0.1
12,154,580,199,118,99996.775828,0.1
13,165,606,208,134,99996.159456,0.1
14,160,565,186,128,100011.337694,0.1
15,152,567,199,133,99989.001087,0.1
16,160,575,195,133,99998.275718,0.1
17,153,554,188,130,99991.221416,0.1
18,150,567,196,126,100000.422137,0.1
19,150,582,204,135,100005.828152,0.1
20,150,588,202,132,99988.993808,0.1
21,149,568,197,132,100011.447237,0.1
22,150,573,203,140,100009.015907,0.1
23,153,575,201,135,100005.024943,0.1
24,159,600,211,132,100009.008559,0.1
25,155,552,187,137,99993.162721,0.1
26,154,590,206,130,99998.771098,0.1
27,155,575,196,115,99990.642306,0.1
28,150,571,203,130,99997.321119,0.1
29,148,568,200,128,100005.303555,0.1
30,149,583,206,132,99993.083392,0.1
31,153,595,213,134,99996.032465,0.1
32,153,554,188,128,99993.128273,0.1
33,152,570,202,126,99991.547944,0.1
34,149,560,197,136,99993.287539,0.1
35,149,578,205,135,99999.873354,0.1
36,150,562,193,138,99988.826897,0.1
37,144,577,204,127,100002.344157,0.1
38,145,583,205,123,100016.598022,0.1
39,160,605,204,135,100007.420442,0.1
40,155,577,202,139,99998.081644,0.1
41,152,563,197,133,99991.123710,0.1
42,156,594,207,124,99992.528417,0.1
43,160,590,200,138,100016.924546,0.1
44,146,568,206,131,100000.508078,0.1
45,162,573,190,145,99993.630044,0.1
46,144,550,193,124,100001.909155,0.1
47,153,583,203,136,100021.002551,0.1
48,155,590,201,128,100001.201590,0.1
49,149,558,193,125,100006.172031,0.1
50,150,563,197,135,100003.001703,0.1
51,152,582,208,128,99996.477502,0.1
52,144,530,183,111,99988.574818,0.1
53,152,574,197,133,99996.506573,0.1
54,157,578,201,126,99997.911058,0.1
55,160,595,200,135,100005.866232,0.1
56,151,568,193,126,100008.389834,0.1
57,152,582,204,123,100009.311021,0.1
58,168,574,192,120,100002.855873,0.1
59,158,580,200,130,100008.851412,0.1
60,155,557,193,131,99992.456021,0.1
61,154,564,193,131,100012.528682,0.1
62,148,566,200,132,100005.129298,0.1
63,154,547,190,124,99997.019072,0.1
64,155,566,192,137,100004.885181,0.1
65,157,567,193,135,99999.244283,0.1
66,158,569,190,140,100011.316294,0.1
67,161,600,212,130,100015.198168,0.1
68,148,552,193,120,100021.855754,0.1
69,155,575,195,130,99986.035037,0.1
70,155,570,201,138,99985.558862,0.1
71,154,574,200,125,99994.955341,0.1
72,154,580,198,139,100001.600371,0.1
73,152,592,211,140,100008.761689,0.1
74,161,583,200,130,100003.156349,0.1
75,148,569,204,128,99979.777988,0.1
76,158,557,185,132,99996.937960,0.1
77,153,585,207,126,100008.279746,0.1
78,147,563,200,141,100002.300947,0.1
79,168,628,218,149,100007.620112,0.1
80,148,587,212,131,99997.776719,0.1
81,154,583,206,136,99997.992419,0.1
82,144,567,202,132,100001.865614,0.1
83,159,600,208,144,100004.100516,0.1
84,154,584,203,133,100001.982997,0.1
85,150,541,185,136,100001.190086,0.1
86,153,570,196,125,99993.293377,0.1
87,157,566,195,135,100003.775638,0.1
88,149,555,197,125,100001.218213,0.1
89,159,570,194,134,100011.294839,0.1
90,155,574,198,130,100011.989179,0.1
91,157,568,194,131,100001.851564,0.1
92,153,580,203,129,99996.247150,0.1
93,143,552,193,125,99993.612696,0.1
94,151,573,205,133,100004.234944,0.1
95,143,564,198,132,100000.773401,0.1
96,153,560,191,129,99996.561463,0.1
97,151,530,178,122,100000.435969,0.1
98,158,592,205,138,99993.799992,0.1
99,152,585,209,130,100006.980320,0.1
100,147,553,193,130,99995.528714,0.1
101,165,563,180,138,100012.245077,0.1
102,152,593,208,133,100004.034916,0.1
103,158,575,196,135,100005.935785,0.1
104,146,565,201,129,99989.050882,0.1
105,158,582,198,128,100001.693824,0.1
106,151,577,203,128,100007.405565,0.1
107,153,585,207,133,99990.462994,0.1
108,151,580,204,135,99997.337815,0.1
109,154,601,211,144,100000.326145,0.1
110,153,571,203,123,99986.268827,0.1
111,163,565,192,142,100003.151594,0.1
112,157,562,192,140,100008.461606,0.1
113,158,594,206,140,99991.404841,0.1
114,149,574,200,127,100003.505460,0.1
115,155,600,209,137,99986.877166,0.1
116,154,567,199,130,99999.613045,0.1
117,147,566,195,132,99983.842276,0.1
118,160,594,207,130,100011.214177,0.1
119,158,563,189,131,100004.089005,0.1
120,162,571,194,134,99999.753830,0.1
121,153,577,201,133,99992.248384,0.1
122,154,575,195,128,100012.737559,0.1
123,155,600,209,133,100019.671017,0.1
124,160,585,200,132,99981.420181,0.1
125,147,548,191,123,100012.361640,0.1
126,147,557,193,122,100016.276508,0.1
127,164,625,215,138,100003.380117,0.1
128,158,556,192,126,99988.007320,0.1
129,163,578,200,131,100008.633453,0.1
130,153,565,198,131,99998.190797,0.1
131,156,581,201,127,99993.960794,0.1
132,153,591,203,128,99987.699419,0.1
133,151,563,197,132,100005.505375,0.1
134,153,596,212,132,100007.928069,0.1
135,156,553,188,134,99993.764693,0.1
136,148,560,200,132,100005.205763,0.1
137,145,561,197,127,99988.556586,0.1
138,150,570,198,130,100008.018610,0.1
139,153,595,212,138,100000.465673,0.1
140,161,582,206,137,99998.134302,0.1
141,154,560,194,131,99998.982541,0.1
142,161,595,208,142,100008.688862,0.1
143,154,580,198,121,100007.504116,0.1
144,158,582,204,138,100005.294653,0.1
145,164,603,203,143,100001.377012,0.1
146,163,555,190,135,100000.778211,0.1
147,154,565,197,137,100006.183803,0.1
148,151,580,205,131,100002.324946,0.1
149,150,584,212,137,100006.825514,0.1
150,148,576,203,138,99996.898832,0.1
151,152,584,204,133,99975.651622,0.1
